keyword,intent,niche,url_count,total_sessions,avg_sessions,total_clicks,avg_ctr,potential,best_url,best_clicks
bathroom cabinet ideas,product-specific,Home Decor,1,65,65,5,7.69,3.82,solinadecor.com/bathroom-cabinet-ideas/,5
brazilian dessert recipes,food-baking,Food/Recipe,1,124,124,5,4.03,8.88,soeasydiy.com/brazilian-dessert-recipes/,5
schar gluten free puff pastry recipes,food-baking,Food/Recipe,1,115,115,5,4.35,9.44,storyriddles.com/schar-gluten-free-puff-pastry-recipes/,5
studio ghibli room,general,Home Decor,1,91,91,5,5.49,2.95,smallvia.com/studio-ghibli-room/,5
olive green bathroom ideas,room-ideas,Home Decor,1,59,59,5,8.47,4.12,smallvia.com/olive-green-bathroom-ideas/,5
vegetable garden design ideas,room-ideas,Garden/Outdoor,1,79,79,5,6.33,3.02,artevohome.com/vegetable-garden-design-ideas/,5
mirror wall decor ideas,product-specific,Garden/Outdoor,1,58,58,5,8.62,3.83,artevohome.com/mirror-wall-decor-ideas/,5
outfits for 50 year old women,outfit-style,Styling,1,130,130,5,3.85,2.6,hervoguelife.com/outfits-for-50-year-old-women/,5
florida native plants landscapes,general,Garden/Outdoor,1,188,188,5,2.66,1.52,floramood.com/florida-native-plants-landscapes/,5
evergreen plants for pots,general,Garden/Outdoor,1,153,153,5,3.27,1.8,floramood.com/evergreen-plants-for-pots/,5
sugar free dunkin drinks,general,Food/Recipe,1,79,79,5,6.33,12.66,broastee.com/sugar-free-dunkin-drinks/,5
eggless keto breakfast recipes,food-baking,Food/Recipe,1,219,219,5,2.28,5.61,primejokes.com/eggless-keto-breakfast-recipes/,5
indian snack recipes tea time,food-baking,Food/Recipe,2,174,87,5,2.87,5.86,punsfordays.com/indian-snack-recipes-tea-time/,5
kumho tires review,general,Other,1,51,51,5,9.8,28.87,jordistireshop.com/kumho-tires-review/,5
cigarette smell out of wood,general,Home Decor,1,162,162,5,3.09,1.87,woodworkwizardry.com/how-to-get-cigarette-smell-out-of-wood/,5
protect wood furniture outside,general,Home Decor,1,161,161,5,3.11,1.88,woodworkwizardry.com/how-to-protect-wood-furniture-outside/,5
fix scratches on wood floor,general,Home Decor,1,97,97,5,5.15,2.8,woodworkwizardry.com/how-to-fix-scratches-on-wood-floor/,5
best paint for shelves,product-specific,Home Decor,1,52,52,5,9.62,4.53,homeypaint.com/best-paint-for-shelves/,5
best paint for cinder block basement walls,room-ideas,Home Decor,1,51,51,5,9.8,4.6,homeypaint.com/best-paint-for-cinder-block-basement-walls/,5
outdoor sauna ideas backyards,general,Garden/Outdoor,1,210,210,5,2.38,1.39,yardolio.com/outdoor-sauna-ideas-backyards/,5
outside toilet ideas outdoor bathrooms,general,Garden/Outdoor,1,185,185,5,2.7,1.54,yardolio.com/outside-toilet-ideas-outdoor-bathrooms/,5
well cover ideas outdoor,general,Garden/Outdoor,1,168,168,5,2.98,1.67,yardolio.com/well-cover-ideas-outdoor/,5
vegan low fodmap recipes,food-baking,Food/Recipe,2,154,77,5,3.25,6.46,eatveganly.com/vegan-low-fodmap-recipes/,3
shower floor tile ideas,general,Home Decor,1,436,436,5,1.15,0.83,floorae.com/shower-floor-tile-ideas/,5
epoxy floor designs,tattoo,Home Decor,1,335,335,5,1.49,1.03,floorae.com/epoxy-floor-designs/,5
small bathroom floor tile ideas,room-ideas,Home Decor,1,134,134,5,3.73,2.17,floorae.com/small-bathroom-floor-tile-ideas/,5
gray bathroom floor tile,room-ideas,Home Decor,1,101,101,5,4.95,2.72,floorae.com/gray-bathroom-floor-tile/,5
cut up t shirt,general,Styling,1,401,401,5,1.25,1.04,hugnify.com/blogs/news/cut-up-t-shirt,5
dog areas in backyard,room-ideas,Garden/Outdoor,1,80,80,5,6.25,2.99,lawnoria.com/dog-areas-in-backyard/,5
backyard fence ideas,room-ideas,Garden/Outdoor,1,72,72,5,6.94,3.25,lawnoria.com/backyard-fence-ideas/,5
pergola ideas backyard,room-ideas,Garden/Outdoor,1,58,58,5,8.62,3.83,lawnoria.com/pergola-ideas-backyard/,5
outdoor small patio ideas,room-ideas,Garden/Outdoor,1,77,77,5,6.49,3.08,blossivio.com/outdoor-small-patio-ideas/,5
cool wedding favors,wedding-event,Wedding/Craft,1,56,56,5,8.93,5.72,marrivon.com/cool-wedding-favors/,5
crochet decoration ideas,diy-craft,Wedding/Craft,1,305,305,5,1.64,1.49,diyvera.com/crochet-decoration-ideas/,5
blue hallway,room-ideas,Home Decor,1,174,174,5,2.87,1.76,entryzo.com/blue-hallway/,5
chinese dessert recipes,food-baking,Food/Recipe,1,110,110,5,4.55,9.78,easybreakfastly.com/chinese-dessert-recipes/,5
couch living room ideas,product-specific,Home Decor,1,128,128,5,3.91,2.26,kidlura.com/no-couch-living-room-ideas/,5
tray ceiling ideas bedroom,room-ideas,Home Decor,2,219,110,5,2.28,1.27,bohozora.com/tray-ceiling-ideas-bedroom/,4
high protein raw vegan recipes,food-baking,Food/Recipe,1,185,185,5,2.7,6.44,eatveganly.com/high-protein-raw-vegan-recipes/,5
recipes for afternoon tea parties food,food-baking,Food/Recipe,1,424,424,5,1.18,3.26,tealeafcup.com/recipes-for-afternoon-tea-parties-food/,5
easy fruit smoothie recipes,food-baking,Food/Recipe,1,554,554,5,0.9,2.6,blendvera.com/easy-fruit-smoothie-recipes/,5
bake snack recipes,food-baking,Food/Recipe,1,850,850,5,0.59,1.82,snackomi.com/no-bake-snack-recipes/,5
ideas for bathroom walls instead of tiles,room-ideas,Home Decor,1,63,63,5,7.94,3.92,glowhomey.com/ideas-for-bathroom-walls-instead-of-tiles/,5
herbal tea recipes,food-baking,Food/Recipe,1,199,199,5,2.51,6.07,steepbean.com/herbal-tea-recipes/,5
tea party food,wedding-event,Food/Recipe,2,220,110,5,2.27,4.88,steepbean.com/tea-party-food/,4
garden water feature ideas,room-ideas,Garden/Outdoor,1,97,97,5,5.15,2.57,moonlightyard.com/garden-water-feature-ideas/,5
ideas for pet memorial garden,room-ideas,Garden/Outdoor,1,58,58,5,8.62,3.83,moonlightyard.com/ideas-for-pet-memorial-garden/,5
modern tiles for living room floor,room-ideas,Home Decor,1,186,186,5,2.69,1.67,homezae.com/modern-tiles-for-living-room-floor/,5
small bathroom with tub,room-ideas,Home Decor,1,77,77,5,6.49,3.36,homenory.com/small-bathroom-with-tub/,5
wedding stage decorations,wedding-event,Wedding/Craft,1,86,86,5,5.81,4.11,marryza.com/wedding-stage-decorations/,5
sister wedding gift ideas,wedding-event,Wedding/Craft,1,69,69,5,7.25,4.88,marryza.com/sister-wedding-gift-ideas/,5
handmade black crochet decor,diy-craft,Home Decor,1,331,331,5,1.51,1.04,artelierahome.com/handmade-black-crochet-decor/,5
handmade home decor ideas creative,diy-craft,Home Decor,1,165,165,5,3.03,1.84,artelierahome.com/handmade-home-decor-ideas-creative/,5
handmade room decor ideas,diy-craft,Home Decor,1,93,93,5,5.38,2.9,artelierahome.com/handmade-room-decor-ideas/,5
3 window curtain ideas,product-specific,Home Decor,1,93,93,5,5.38,2.9,curtainza.com/3-window-curtain-ideas/,5
bay window ideas,general,Home Decor,1,80,80,5,6.25,3.26,curtainza.com/bay-window-ideas/,5
yarn storage,general,Home Decor,1,60,60,5,8.33,4.06,organizaspace.com/yarn-storage/,5
ceramic crock decor ideas,wedding-event,Home Decor,1,167,167,5,2.99,1.82,ceramory.com/ceramic-crock-decor-ideas/,5
farmhouse shower,general,Home Decor,1,100,100,5,5,2.74,farmsteadra.com/farmhouse-shower/,5
taupe sofa living room ideas,product-specific,Home Decor,1,71,71,5,7.04,3.57,farmsteadra.com/taupe-sofa-living-room-ideas/,5
garden border ideas,room-ideas,Garden/Outdoor,1,59,59,5,8.47,3.78,yardzeno.com/garden-border-ideas/,5
dark wood kitchen cabinets decor,room-ideas,Home Decor,1,190,190,5,2.63,1.64,woodlyloom.com/dark-wood-kitchen-cabinets-decor/,5
small room layout bedroom,room-ideas,Home Decor,1,91,91,4,4.4,2.36,celenastudio.com/small-room-layout-bedroom/,4
bathroom high ceiling,room-ideas,Home Decor,1,86,86,4,4.65,2.47,celenastudio.com/bathroom-high-ceiling/,4
chia seed pudding recipes,food-baking,Food/Recipe,1,511,511,4,0.78,2.22,cooksonic.com/chia-seed-pudding-recipes/,4
album cover wall decor bedroom ideas,room-ideas,Home Decor,1,132,132,4,3.03,1.76,craftboom.work/album-cover-wall-decor-bedroom-ideas/,4
vintage bridal shower ideas,wedding-event,Wedding/Craft,1,74,74,4,5.41,3.7,eloralove.com/vintage-bridal-shower-ideas/,4
beach wedding ideas,wedding-event,Wedding/Craft,1,52,52,4,7.69,4.83,eloralove.com/beach-wedding-ideas/,4
small bathroom tile ideas,room-ideas,Home Decor,2,254,127,4,1.57,0.9,cozykitchenia.com/small-bathroom-tile-ideas/,3
bathroom closet ideas,room-ideas,Home Decor,1,97,97,4,4.12,2.24,floriadecor.com/bathroom-closet-ideas/,4
brass bed bedroom,product-specific,Home Decor,1,74,74,4,5.41,2.77,floriadecor.com/brass-bed-bedroom/,4
indian bathroom tiles design,room-ideas,Home Decor,1,59,59,4,6.78,3.3,floriadecor.com/indian-bathroom-tiles-design/,4
caramel sofa living room ideas,product-specific,Home Decor,1,152,152,4,2.63,1.57,houzerio.com/caramel-sofa-living-room-ideas/,4
bedroom closet doors mirrors,product-specific,Home Decor,1,140,140,4,2.86,1.68,houzerio.com/bedroom-closet-doors-mirrors/,4
small bedroom window ideas,room-ideas,Home Decor,1,66,66,4,6.06,3.02,houzerio.com/small-bedroom-window-ideas/,4
fairytale wedding cake,food-baking,Food/Recipe,1,76,76,4,5.26,10.43,lilidessert.com/fairytale-wedding-cake/,4
astronaut cake birthday,food-baking,Food/Recipe,1,67,67,4,5.97,11.5,lilidessert.com/astronaut-cake-birthday/,4
deep autumn hair color,hair-beauty,Styling,1,54,54,4,7.41,4.12,lovermuse.com/deep-autumn-hair-color/,4
spanish tile bathroom,room-ideas,Home Decor,1,51,51,4,7.84,3.68,lylastudio.com/spanish-tile-bathroom/,4
fake ivy decor bedroom ideas,room-ideas,Home Decor,1,114,114,4,3.51,1.98,minoradesign.com/fake-ivy-decor-bedroom-ideas/,4
treadmill in living room ideas,room-ideas,Home Decor,1,146,146,4,2.74,1.62,roomwaves.com/treadmill-in-living-room-ideas/,4
horse bedroom teens,room-ideas,Home Decor,1,61,61,4,6.56,3.21,roomwaves.com/horse-bedroom-teens/,4
simple one tier wedding cake,food-baking,Food/Recipe,1,144,144,4,2.78,6.31,rosabake.com/simple-one-tier-wedding-cake/,4
baby shower cake designs,food-baking,Food/Recipe,1,76,76,4,5.26,10.43,rosabake.com/baby-shower-cake-designs/,4
outfit para mama de graduado,outfit-style,Styling,1,138,138,4,2.9,1.98,stylingfact.com/outfit-para-mama-de-graduado/,4
blazer and jeans outfit women,outfit-style,Styling,1,75,75,4,5.33,3.2,stylingfox.com/blazer-and-jeans-outfit-women/,4
sourdough bread art,food-baking,Food/Recipe,1,331,331,4,1.21,3.21,sugardawn.com/sourdough-bread-art/,4
easy cake,food-baking,Food/Recipe,1,151,151,4,2.65,6.08,sugardawn.com/easy-cake/,4
almond flour bread recipes,food-baking,Food/Recipe,1,328,328,4,1.22,3.23,yummyguru.com/almond-flour-bread-recipes/,4
low sodium freezer meals for two,general,Food/Recipe,1,329,329,4,1.22,3.23,soeasydiy.com/low-sodium-freezer-meals-for-two/,4
office decor ideas,room-ideas,Garden/Outdoor,1,165,165,4,2.42,1.35,artevohome.com/office-decor-ideas/,4
graduation outfit ideas for mom classy,outfit-style,Styling,1,61,61,4,6.56,3.75,hervoguelife.com/graduation-outfit-ideas-for-mom-classy/,4
fashion for women over 60 outfits,outfit-style,Styling,1,55,55,4,7.27,4.06,hervoguelife.com/fashion-for-women-over-60-outfits/,4
retaining wall backyard ideas,room-ideas,Garden/Outdoor,1,171,171,4,2.34,1.31,floramood.com/retaining-wall-backyard-ideas/,4
banana water for plants,general,Garden/Outdoor,1,147,147,4,2.72,1.48,floramood.com/banana-water-for-plants/,4
air purifying house plants,general,Garden/Outdoor,1,134,134,4,2.99,1.6,floramood.com/air-purifying-house-plants/,4
rid of gnats in house plants,general,Garden/Outdoor,1,116,116,4,3.45,1.79,floramood.com/how-to-get-rid-of-gnats-in-house-plants/,4
full sun drought tolerant plants,general,Garden/Outdoor,1,77,77,4,5.19,2.46,floramood.com/full-sun-drought-tolerant-plants/,4
shade window box plants,general,Garden/Outdoor,1,74,74,4,5.41,2.55,floramood.com/shade-window-box-plants/,4
clothes for men over 50,outfit-style,Styling,1,72,72,4,5.56,3.31,themaleedit.com/clothes-for-men-over-50/,4
garden in small space ideas,room-ideas,Garden/Outdoor,2,153,77,4,2.61,1.24,slowgardenlife.com/garden-in-small-space-ideas/,3
toyota corolla modified,general,Home Decor,1,71,71,4,5.63,2.86,drivecruise.com/toyota-corolla-modified/,4
keep wood bees away,general,Home Decor,1,88,88,4,4.55,2.42,woodworkwizardry.com/how-to-keep-wood-bees-away/,4
i seal painted wood,general,Home Decor,1,57,57,4,7.02,3.38,woodworkwizardry.com/how-do-i-seal-painted-wood/,4
much does it cost to replace a rear main seal,general,Other,1,61,61,4,6.56,20.19,autorepairlebanontn.com/how-much-does-it-cost-to-replace-a-rear-main-seal/,4
best stain blocker paint,diy-craft,Home Decor,1,62,62,4,6.45,3.17,homeypaint.com/best-stain-blocker-paint/,4
best paint for rv exterior,diy-craft,Home Decor,1,59,59,4,6.78,3.3,homeypaint.com/best-paint-for-rv-exterior/,4
best paint for denim fabric,diy-craft,Home Decor,1,58,58,4,6.9,3.34,homeypaint.com/best-paint-for-denim-fabric/,4
outdoor wall covering ideas,general,Garden/Outdoor,1,158,158,4,2.53,1.4,yardolio.com/outdoor-wall-covering-ideas/,4
front yard parking ideas,general,Garden/Outdoor,1,148,148,4,2.7,1.47,yardolio.com/front-yard-parking-ideas/,4
front yard fence ideas,general,Garden/Outdoor,1,98,98,4,4.08,2.04,yardolio.com/front-yard-fence-ideas/,4
simple backyard fire pit ideas,room-ideas,Garden/Outdoor,1,95,95,4,4.21,2.09,yardolio.com/simple-backyard-fire-pit-ideas/,4
tree trunk ideas outdoor,general,Garden/Outdoor,1,80,80,4,5,2.4,yardolio.com/tree-trunk-ideas-outdoor/,4
storage sheds ideas backyard,room-ideas,Garden/Outdoor,1,79,79,4,5.06,2.42,yardolio.com/storage-sheds-ideas-backyard/,4
decorar patio pequeno,room-ideas,Garden/Outdoor,1,64,64,4,6.25,2.84,patizvo.com/decorar-patio-pequeno/,4
small living room ideas with fireplace,room-ideas,Home Decor,1,261,261,4,1.53,1.01,firesidea.com/small-living-room-ideas-with-fireplace/,4
inside fireplace decor,wedding-event,Home Decor,1,83,83,4,4.82,2.54,firesidea.com/inside-fireplace-decor/,4
craftsman fireplace,general,Home Decor,1,57,57,4,7.02,3.38,firesidea.com/craftsman-fireplace/,4
unique ice cream recipes,food-baking,Food/Recipe,1,760,760,4,0.53,1.6,toppuns.com/unique-ice-cream-recipes/,4
healthy juice shots recipes,food-baking,Food/Recipe,1,301,301,4,1.33,3.47,toppuns.com/healthy-juice-shots-recipes/,4
fish aquarium ideas for living room,room-ideas,Home Decor,1,96,96,4,4.17,2.26,seasonrae.com/fish-aquarium-ideas-for-living-room/,4
leftover pork roast recipes keto,food-baking,Food/Recipe,1,479,479,4,0.84,2.37,popularteamnames.com/leftover-pork-roast-recipes-keto/,4
keto recipes for picky eaters,food-baking,Food/Recipe,1,254,254,4,1.57,3.97,popularteamnames.com/keto-recipes-for-picky-eaters/,4
floor ideas,general,Home Decor,1,189,189,4,2.12,1.32,floorae.com/floor-ideas/,4
basement floor,room-ideas,Home Decor,1,62,62,4,6.45,3.17,floorae.com/basement-floor/,4
backyard remodel,room-ideas,Garden/Outdoor,1,107,107,4,3.74,1.91,lawnoria.com/backyard-remodel/,4
phyllo dough recipes dessert,food-baking,Food/Recipe,1,223,223,4,1.79,4.42,flavorcurry.com/phyllo-dough-recipes-dessert/,4
tote bag painting ideas,outfit-style,Wedding/Craft,1,115,115,4,3.48,2.62,diyvera.com/tote-bag-painting-ideas/,4
kid craft ideas,diy-craft,Wedding/Craft,1,74,74,4,5.41,3.7,diyvera.com/kid-craft-ideas/,4
diy kids room decor,diy-craft,Home Decor,1,132,132,4,3.03,1.76,kidlura.com/diy-kids-room-decor/,4
divided bedroom kids,room-ideas,Home Decor,1,75,75,4,5.33,2.74,kidlura.com/divided-bedroom-kids/,4
basement ceiling ideas,room-ideas,Home Decor,1,90,90,4,4.44,2.38,ceiloria.com/basement-ceiling-ideas/,4
backyard ideas for renters,room-ideas,Home Decor,1,70,70,4,5.71,2.89,ceiloria.com/backyard-ideas-for-renters/,4
vegan salad dressing recipes,food-baking,Food/Recipe,1,86,86,4,4.65,9.48,eatveganly.com/vegan-salad-dressing-recipes/,4
loaded tea recipes without herbalife,food-baking,Food/Recipe,1,58,58,4,6.9,12.84,tealeafcup.com/loaded-tea-recipes-without-herbalife/,4
mexican pinto bean recipes,food-baking,Food/Recipe,1,73,73,4,5.48,10.77,mexifork.com/mexican-pinto-bean-recipes/,4
recipes using canned nacho cheese sauce,food-baking,Food/Recipe,1,146,146,4,2.74,6.24,saucybold.com/recipes-using-canned-nacho-cheese-sauce/,4
nipple tattoo ideas,tattoo,Tattoo,1,206,206,4,1.94,6.43,shadowlinetattoos.com/nipple-tattoo-ideas/,4
japanese sleeve tattoo ideas,tattoo,Tattoo,1,62,62,4,6.45,16.61,shadowlinetattoos.com/japanese-sleeve-tattoo-ideas/,4
ideas for tea party decorations,wedding-event,Food/Recipe,1,85,85,4,4.71,9.58,steepbean.com/ideas-for-tea-party-decorations/,4
viking sleeve tattoo for men,tattoo,Tattoo,1,82,82,4,4.88,13.41,gentedge.com/viking-sleeve-tattoo-for-men/,4
front porch landscaping ideas,general,Garden/Outdoor,1,53,53,4,7.55,3.28,softlyoutdoor.com/front-porch-landscaping-ideas/,4
white hair color ideas,hair-beauty,Hair/Beauty,1,79,79,4,5.06,23.72,hairflowy.com/white-hair-color-ideas/,4
brick edging ideas for garden,room-ideas,Garden/Outdoor,1,59,59,4,6.78,3.03,moonlightyard.com/brick-edging-ideas-for-garden/,4
glass dome christmas decor ideas,wedding-event,Home Decor,1,231,231,4,1.73,1.12,glassoraa.com/glass-dome-christmas-decor-ideas/,4
side backyard ideas,room-ideas,Home Decor,1,103,103,4,3.88,2.14,hyggenza.com/side-backyard-ideas/,4
first anniversary gift for husband,wedding-event,Wedding/Craft,1,51,51,4,7.84,4.9,lovorae.com/first-anniversary-gift-for-husband/,4
cabin front porch ideas,general,Home Decor,1,77,77,4,5.19,2.68,cozyofficedecor.com/cabin-front-porch-ideas/,4
curtain ideas diy,product-specific,Home Decor,1,71,71,4,5.63,2.86,cozyofficedecor.com/curtain-ideas-diy/,4
bridal shower food ideas,wedding-event,Wedding/Craft,1,64,64,4,6.25,4.13,marryza.com/bridal-shower-food-ideas/,4
cake decorating ideas,food-baking,Food/Recipe,1,254,254,4,1.57,3.97,doughora.com/cake-decorating-ideas/,4
handmade vintage suitcase decor,diy-craft,Home Decor,1,150,150,4,2.67,1.59,artelierahome.com/handmade-vintage-suitcase-decor/,4
artisan coffee shop decor,wedding-event,Home Decor,1,128,128,4,3.13,1.81,artelierahome.com/artisan-coffee-shop-decor/,4
handmade wall decor,diy-craft,Home Decor,1,72,72,4,5.56,2.83,artelierahome.com/how-to-make-handmade-wall-decor/,4
handmade owl decor ideas,diy-craft,Home Decor,1,58,58,4,6.9,3.34,artelierahome.com/handmade-owl-decor-ideas/,4
handmade coconut shell decor,diy-craft,Home Decor,1,50,50,4,8,3.73,artelierahome.com/handmade-coconut-shell-decor/,4
industrial apartment decor small spaces,wedding-event,Home Decor,1,83,83,4,4.82,2.54,betonry.com/industrial-apartment-decor-small-spaces/,4
part shade planter ideas,product-specific,Garden/Outdoor,1,202,202,4,1.98,1.15,grassora.com/part-shade-planter-ideas/,4
bay window treatments,general,Home Decor,1,60,60,4,6.67,3.25,curtainza.com/bay-window-treatments/,4
korean coffee shop,general,Food/Recipe,1,186,186,4,2.15,5.13,brewnora.com/korean-coffee-shop/,4
keurig iced coffee recipes,food-baking,Food/Recipe,1,92,92,4,4.35,9,brewnora.com/keurig-iced-coffee-recipes/,4
handmade ceramic decor inspiration,diy-craft,Home Decor,1,86,86,4,4.65,2.47,ceramory.com/handmade-ceramic-decor-inspiration/,4
home decor with recycled bottles,wedding-event,Home Decor,1,116,116,4,3.45,1.95,terrapurely.com/home-decor-with-recycled-bottles/,4
metal gate decor ideas outdoor,wedding-event,Home Decor,1,72,72,4,5.56,2.83,metacraftera.com/metal-gate-decor-ideas-outdoor/,4
vintage gallery wall,general,Home Decor,1,78,78,4,5.13,2.66,retrofyra.com/vintage-gallery-wall/,4
vintage aesthetic room,general,Home Decor,1,58,58,4,6.9,3.34,retrofyra.com/vintage-aesthetic-room/,4
vintage classroom decor,wedding-event,Home Decor,1,54,54,4,7.41,3.52,retrofyra.com/vintage-classroom-decor/,4
vintage laundry room decor,room-ideas,Home Decor,1,52,52,4,7.69,3.62,retrofyra.com/vintage-laundry-room-decor/,4
bathroom dark walls,room-ideas,Home Decor,1,222,222,3,1.35,0.87,celenastudio.com/bathroom-dark-walls/,3
modern victorian bathroom,room-ideas,Home Decor,1,89,89,3,3.37,1.8,celenastudio.com/modern-victorian-bathroom/,3
camel sofa living room,product-specific,Home Decor,1,51,51,3,5.88,2.76,celenastudio.com/camel-sofa-living-room/,3
white and grey marble bathroom,room-ideas,Home Decor,1,50,50,3,6,2.8,celenastudio.com/white-and-grey-marble-bathroom/,3
living room shelving ideas the wall,room-ideas,Home Decor,1,69,69,3,4.35,2.19,cosaroom.com/living-room-shelving-ideas-the-wall/,3
dark green accent wall bedroom ideas,room-ideas,Home Decor,1,51,51,3,5.88,2.76,cosaroom.com/dark-green-accent-wall-bedroom-ideas/,3
cheesecake factory recipes,food-baking,Food/Recipe,1,118,118,3,2.54,5.54,cozyslice.com/cheesecake-factory-recipes/,3
3 x 3 bedroom ideas,room-ideas,Home Decor,1,106,106,3,2.83,1.57,craftboom.work/3-x-3-bedroom-ideas/,3
healthy sauces for chicken,food-recipe,Food/Recipe,1,166,166,3,1.81,4.23,cravychef.com/healthy-sauces-for-chicken/,3
wedding drapery ideas,wedding-event,Wedding/Craft,1,134,134,3,2.24,1.74,eloralove.com/wedding-drapery-ideas/,3
easy bundt cake recipes,food-baking,Food/Recipe,1,263,263,3,1.14,2.9,eraflavor.com/easy-bundt-cake-recipes/,3
birthday cake funny ideas,food-baking,Food/Recipe,1,100,100,3,3,6.32,eraflavor.com/birthday-cake-funny-ideas/,3
restaurant bathroom ideas,room-ideas,Home Decor,1,137,137,3,2.19,1.28,floriadecor.com/restaurant-bathroom-ideas/,3
dark gray bedroom ideas,room-ideas,Home Decor,1,152,152,3,1.97,1.18,houzerio.com/dark-gray-bedroom-ideas/,3
wood vanity bathroom,product-specific,Home Decor,1,78,78,3,3.85,2,houzerio.com/wood-vanity-bathroom/,3
bedroom set up ideas,room-ideas,Home Decor,1,77,77,3,3.9,2.02,houzerio.com/bedroom-set-up-ideas/,3
electric fireplace bedroom tv,room-ideas,Home Decor,1,52,52,3,5.77,2.72,houzerio.com/electric-fireplace-bedroom-tv/,3
navy skirt outfit,outfit-style,Styling,1,111,111,3,2.7,1.77,lovermuse.com/navy-skirt-outfit/,3
boy cake ideas simple,food-baking,Food/Recipe,1,99,99,3,3.03,6.37,lunapastry.com/boy-cake-ideas-simple/,3
minimalist birthday cake for women,food-baking,Food/Recipe,1,82,82,3,3.66,7.38,lunapastry.com/minimalist-birthday-cake-for-women/,3
painted tiles bathroom,room-ideas,Home Decor,1,215,215,3,1.4,0.89,lyladecor.com/painted-tiles-bathroom/,3
pink bedroom ideas for kids,room-ideas,Home Decor,1,73,73,3,4.11,2.1,lyladecor.com/pink-bedroom-ideas-for-kids/,3
burgundy couch living room ideas,product-specific,Home Decor,1,96,96,3,3.13,1.7,lylastudio.com/burgundy-couch-living-room-ideas/,3
living room partition,room-ideas,Home Decor,1,57,57,3,5.26,2.54,roomwaves.com/living-room-partition/,3
light blue bedroom ideas,room-ideas,Home Decor,1,73,73,3,4.11,2.1,sleeprism.com/light-blue-bedroom-ideas/,3
ikea malm bedroom,room-ideas,Home Decor,1,264,264,3,1.14,0.76,solinadecor.com/ikea-malm-bedroom/,3
bedroom with bathroom layout,room-ideas,Home Decor,1,249,249,3,1.2,0.79,solinadecor.com/bedroom-with-bathroom-layout/,3
mexican living room,room-ideas,Home Decor,1,130,130,3,2.31,1.34,solinadecor.com/mexican-living-room/,3
bathroom flooring ideas vinyl,room-ideas,Home Decor,1,91,91,3,3.3,1.77,solinadecor.com/bathroom-flooring-ideas-vinyl/,3
adidas track pants outfit for women,outfit-style,Styling,1,202,202,3,1.49,1.1,stylingfox.com/adidas-track-pants-outfit-for-women/,3
outfit with converse,outfit-style,Styling,1,110,110,3,2.73,1.78,stylingfox.com/outfit-with-converse/,3
hijab outfit aesthetic,outfit-style,Styling,1,105,105,3,2.86,1.85,stylingfox.com/hijab-outfit-aesthetic/,3
60th birthday cake for men dads,food-baking,Food/Recipe,1,127,127,3,2.36,5.23,sugardawn.com/60th-birthday-cake-for-men-dads/,3
cold pressed juice recipes,food-baking,Food/Recipe,1,156,156,3,1.92,4.43,tastywolf.com/cold-pressed-juice-recipes/,3
freezer meals for chemo patients,general,Food/Recipe,1,694,694,3,0.43,1.28,soeasydiy.com/freezer-meals-for-chemo-patients/,3
easy french recipes,food-baking,Food/Recipe,1,664,664,3,0.45,1.33,jokesfordays.com/easy-french-recipes/,3
great gatsby outfit ideas women,outfit-style,Styling,1,53,53,3,5.66,3.13,hervoguelife.com/the-great-gatsby-outfit-ideas-women/,3
plants for clay soil,general,Garden/Outdoor,1,181,181,3,1.66,0.94,floramood.com/plants-for-clay-soil/,3
boho pergola ideas,general,Garden/Outdoor,1,90,90,3,3.33,1.64,floramood.com/boho-pergola-ideas/,3
plants for sunny areas,general,Garden/Outdoor,1,76,76,3,3.95,1.87,floramood.com/plants-for-sunny-areas/,3
plants in glass containers,general,Garden/Outdoor,1,60,60,3,5,2.24,floramood.com/plants-in-glass-containers/,3
blueberry trellis ideas,general,Garden/Outdoor,1,58,58,3,5.17,2.3,floramood.com/blueberry-trellis-ideas/,3
propagating plants from cuttings,general,Garden/Outdoor,1,58,58,3,5.17,2.3,floramood.com/propagating-plants-from-cuttings/,3
salmon brine recipe smoked,food-baking,Food/Recipe,1,224,224,3,1.34,3.31,bbqhustle.com/salmon-brine-recipe-smoked/,3
clean bbq grill grates,general,Food/Recipe,1,73,73,3,4.11,8.07,bbqhustle.com/how-to-clean-bbq-grill-grates/,3
sugar free starbucks drinks,general,Food/Recipe,1,158,158,3,1.9,4.4,broastee.com/sugar-free-starbucks-drinks/,3
business casual outfits for work men,outfit-style,Styling,1,291,291,3,1.03,0.81,themaleedit.com/business-casual-outfits-for-work-men/,3
expensive watches for men luxury,general,Styling,1,70,70,3,4.29,2.53,themaleedit.com/expensive-watches-for-men-luxury/,3
food ideas for garden party,room-ideas,Garden/Outdoor,2,217,109,3,1.38,0.71,slowgardenlife.com/food-ideas-for-garden-party/,3
front yard vegetable garden ideas,room-ideas,Garden/Outdoor,1,56,56,3,5.36,2.36,slowgardenlife.com/front-yard-vegetable-garden-ideas/,3
high protein low carb recipes meal prep,food-baking,Food/Recipe,2,183,92,3,1.64,3.39,primejokes.com/high-protein-low-carb-recipes-meal-prep/,3
lemon curd dessert recipes,food-baking,Food/Recipe,1,165,165,3,1.82,4.25,punsfordays.com/lemon-curd-dessert-recipes/,3
